frame,rot_deg,trans_err
0,92.0508,1.55073
1,6.9998,nan
2,2.41821,0.272457
3,1.28303,0.0596045
4,4.68429,1.44361
5,2.60118,1.98228
6,10.2621,1.34041
7,4.28268,1.92747
8,0.594578,0.532113
9,0.529193,0.327215
10,1.91231,0.943882
11,0.972249,0.478552
12,8.97282,1.90307
13,0.875159,1.94091
14,3.0911,1.97943
15,1.39801,0.645248
16,1.04803,1.5921
17,5.47356,0.750126
18,4.19014,1.75325
19,0.587288,1.89215
20,1.01937,1.82489
21,0.303062,0.309363
22,1.22841,1.3756
23,1.56191,0.443915
24,0.605647,0.922517
25,0.280013,0.643677
26,2.61331,1.53539
27,2.94009,1.91548
28,4.03699,1.0719
29,2.13052,1.7173
30,0.469343,0.567694
31,0.978759,1.13908
32,1.82265,1.80439
33,1.20475,1.35373
34,5.09053,1.25237
35,1.72653,1.22874
36,0.993842,1.48549
37,0.887765,1.44724
38,2.49258,1.42885
39,3.86315,1.44231
40,2.581,1.74625
41,2.8941,1.16091
42,2.7992,nan
43,3.46912,1.4142
44,1.13246,1.42592
45,8.19793,1.11665
46,2.80984,1.22098
47,3.43394,1.76983
48,4.42007,1.59702
49,6.70425,1.09306
50,1.30423,0.76522
51,3.86918,1.50621
52,1.09418,1.01389
53,12.4209,nan
54,1.72524,1.35546
55,3.84924,1.08262
56,5.13254,1.46904
57,1.75326,1.64494
58,1.51784,1.32191
59,5.05703,1.71244
60,2.92563,nan
61,8.16013,1.91419
62,4.35933,1.80915
63,0.90856,0.6522
64,1.06733,1.6126
65,1.89176,0.638865
66,2.7145,1.81158
67,3.09581,1.90481
68,4.79823,1.97315
69,0.610477,0.329458
70,0.743474,1.99597
71,3.25437,0.16176
72,0.75992,0.449521
73,0.496912,0.708592
74,5.42062,1.96408
75,2.92883,1.26538
76,4.4781,1.49667
77,2.45323,1.97066
78,1.03207,0.573853
79,4.04661,1.63277
80,13.5969,1.80284
81,2.89029,1.89701
82,5.37509,1.84387
83,6.24197,1.90566
84,2.70805,1.66342
85,5.51235,1.60312
86,3.95639,1.24937
87,4.57071,1.94943
88,2.17721,0.444134
89,1.96072,1.99442
90,4.86261,1.33568
91,2.867,0.857553
92,2.1508,0.457915
93,5.07728,0.611637
94,0.896083,0.888438
95,5.96018,0.640508
96,7.46911,1.79837
97,1.00115,0.33485
98,7.38307,1.85862
99,5.19056,1.86496
100,2.72112,0.667648
101,4.54803,0.765133
102,3.12962,1.74663
103,12.8611,0.829332
104,6.76799,0.881302
105,4.25648,1.02227
106,1.30985,0.683637
107,4.03742,1.8328
108,2.00824,0.931376
109,3.10595,1.41902
110,1.76629,0.70243
111,4.12884,0.812341
112,2.78999,0.694514
113,1.55676,0.973852
114,7.58798,1.14661
115,5.57022,1.48027
116,6.79631,1.40323
117,1.74705,1.80961
118,0.908033,1.43428
119,0.56464,1.439
120,4.09827,1.75789
121,8.03253,1.40507
122,1.50777,1.13133
123,7.40596,1.21528
124,1.28472,1.3714
125,11.5854,1.09841
126,1.37332,1.21972
127,1.79019,1.36873
128,8.32164,1.25305
129,2.08642,nan
130,4.54073,1.35734
131,3.27552,1.602
132,3.35067,1.17859
133,0.723714,0.932262
134,10.7293,1.57187
135,1.82232,1.66358
136,0.554958,1.67349
137,8.22752,1.23044
138,2.09561,1.48696
139,3.18866,1.12823
140,1.38169,1.27032
141,1.294,1.35293
142,1.09439,1.30119
143,0.465386,0.949831
144,15.5536,1.14398
145,1.25476,1.4187
146,2.04172,1.23077
147,5.56073,1.26142
148,1.00829,1.17763
149,1.44074,1.19708
150,8.55287,1.56535
151,7.07395,1.21173
152,1.76849,1.27091
153,0.934877,1.27318
154,0.633774,0.877989
155,4.98451,0.926236
156,1.55624,1.43194
157,3.07568,1.36552
158,1.43945,1.31375
159,1.45269,1.40434
160,0.393677,1.09444
161,0.892561,1.40205
162,5.55865,1.4153
163,0.915626,1.4342
164,3.42582,1.69598
165,1.88369,1.32967
166,2.93678,1.44426
167,2.68692,1.78248
168,6.61506,1.46493
169,4.90708,1.40399
170,2.25032,1.34632
171,3.25637,1.04001
172,3.26367,1.42549
173,1.68146,1.23646
174,11.0678,1.26914
175,1.71825,0.721319
176,17.0548,1.33636
177,5.04316,1.33625
178,13.0517,1.00732
179,5.96724,1.07854
180,9.54354,1.11642
181,1.36557,1.44918
182,1.552,1.34642
183,3.82647,0.748519
184,7.95926,1.33767
185,9.06678,1.04084
186,10.0688,1.37818
187,15.9774,0.945267
188,1.55592,1.6778
189,4.08061,1.65535
190,4.96773,1.58729
191,1.67119,1.68761
192,5.46935,1.33305
193,1.95065,1.29335
194,5.55934,1.59733
195,9.22812,1.53191
196,2.22282,1.18798
197,3.24951,0.97443
198,3.14997,1.2622
199,4.1296,1.56318
200,2.56075,1.14287
201,6.49241,1.68679
202,8.32268,1.3317
203,0.871427,0.90129
204,3.16983,1.21254
205,1.30623,1.66339
206,9.2416,1.3128
207,9.03156,1.47448
208,5.47485,1.85803
209,1.98499,1.30073
210,2.30362,0.26839
211,2.88366,1.76226
212,1.53896,1.4965
213,3.61719,1.23475
214,0.704982,0.795865
215,0.38855,0.44451
216,3.51176,1.52808
217,13.8841,1.14678
218,9.43121,0.946457
219,2.61085,0.965515
220,1.13487,0.989715
221,15.0637,1.83566
222,2.98447,1.85195
223,3.57315,1.55553
224,8.24372,0.71644
225,1.1609,1.36874
226,0.256591,0.582124
227,1.94241,1.73648
228,1.81239,0.577391
229,3.15238,1.74653
230,5.20094,0.881006
231,4.49152,1.80783
232,10.6648,1.76868
233,6.28556,1.14008
234,1.20997,0.838234
235,3.6929,1.67484
236,11.8573,1.471
237,0.559877,0.725519
238,2.4196,0.910058
239,8.47488,1.70323
240,1.19625,0.681562
241,8.25839,0.673844
242,1.82429,1.31881
243,13.0161,1.69263
244,6.43374,1.75855
245,1.81018,0.812346
246,3.81636,1.70912
247,3.01591,0.852856
248,3.07382,1.2329
249,4.96082,0.727742
250,4.80011,1.83744
251,2.93115,1.47238
252,9.37842,0.724331
253,6.21053,1.57826
254,2.5143,1.07812
255,5.52849,1.59749
256,1.96975,1.05011
257,6.84869,0.932352
258,3.5722,1.00419
259,1.58036,1.88563
260,2.04846,0.334075
261,3.58255,1.51775
262,2.43661,1.44828
263,2.9932,1.76429
264,9.61081,1.6008
265,0.692743,0.347743
266,1.78978,1.35049
267,1.26703,0.566266
268,0.557228,0.448504
269,7.90348,1.31754
270,0.640111,0.497657
271,4.22859,1.55571
272,2.53413,1.53719
273,5.80625,0.690401
274,4.70347,1.17623
275,1.1484,0.730445
276,5.07665,0.711034
277,4.57012,1.72824
278,10.8761,1.28895
279,3.67632,1.0624
280,2.14896,1.0482
281,2.76323,0.465483
282,3.49638,1.17448
283,2.89187,0.471845
284,1.49813,0.44273
285,3.90709,1.46687
286,0.76108,1.18073
287,2.4889,1.8221
288,2.07647,1.35336
289,0.725271,0.679513
290,1.52447,1.09829
291,5.50854,1.4024
292,4.45379,0.901748
293,4.38689,1.28823
294,2.01115,1.8046
295,0.66708,0.425051
296,7.94946,1.49875
297,6.28503,1.28583
298,4.26589,1.92177
299,2.42988,1.5711
300,5.69288,1.20903
301,3.17453,1.45166
302,1.02687,0.82698
303,5.31869,0.502821
304,1.39703,1.20004
305,3.23857,1.47498
306,1.0184,0.726468
307,3.6865,1.03841
308,2.54743,1.58444
309,0.0927585,0.0828837
310,3.65103,1.7001
311,3.98651,1.51173
312,3.1246,1.85908
313,1.85573,1.56483
314,6.56294,1.915
315,0.748905,0.319826
316,0.201727,0.689031
317,0.11394,0.651006
318,0.370092,0.433074
319,0.258709,0.162654
320,0.0329175,0.0565877
321,1.49197,1.66761
322,0.625668,0.56895
323,8.76922,1.40849
324,12.0613,1.42465
325,7.21638,0.756855
326,4.3627,1.65795
327,5.57988,1.28705
328,6.82978,0.617437
329,8.15235,nan
330,3.50621,0.77668
331,1.76574,1.70517
332,1.81117,1.80679
333,5.65439,1.48275
334,1.58529,0.832757
335,3.74992,0.332495
336,3.19616,1.39074
337,5.20899,1.88627
338,5.60854,1.85392
339,4.34907,1.70328
340,11.8129,0.702741
341,0.9821,0.256081
342,1.77002,0.294954
343,6.4442,1.18287
344,0.630739,0.948271
345,3.68576,1.52008
346,2.6904,1.63992
347,2.72717,1.75289
348,0.148648,0.229477
349,4.0235,0.878302
350,0.510965,0.160293
